filename, texts, noretweets, engtweets, oldscruff, newscruff
rona-rumours-corpus-ᾱ-2020-08-13.jsonl.gz,    13020,    15393,    13020,     8249,     3183
rona-rumours-corpus-ᾱ-2020-08-14.jsonl.gz,    11645,    14399,    11645,     7489,     3056
rona-rumours-corpus-ᾱ-2020-08-15.jsonl.gz,    10065,    12325,    10065,     6367,     2526
rona-rumours-corpus-ᾱ-2020-08-16.jsonl.gz,    10430,    12665,    10430,     6612,     2684
rona-rumours-corpus-ᾱ-2020-08-17.jsonl.gz,    13568,    16802,    13568,     7794,     2851
rona-rumours-corpus-ᾱ-2020-08-18.jsonl.gz,    18679,    21485,    18679,     9506,     3405
rona-rumours-corpus-ᾱ-2020-08-19.jsonl.gz,    20561,    23360,    20561,    11049,     4108
rona-rumours-corpus-ᾱ-2020-08-20.jsonl.gz,    14887,    17436,    14887,     8502,     3193
rona-rumours-corpus-ᾱ-2020-08-21.jsonl.gz,    13983,    16519,    13983,     8475,     3468
rona-rumours-corpus-ᾱ-2020-08-22.jsonl.gz,    13490,    15635,    13490,     8221,     3404
rona-rumours-corpus-ᾱ-2020-08-23.jsonl.gz,    13476,    15752,    13476,     8207,     3312
rona-rumours-corpus-ᾱ-2020-08-24.jsonl.gz,     9406,    11109,     9406,     5562,     2077
rona-rumours-corpus-ᾱ-2020-08-25.jsonl.gz,    10620,    12848,    10620,     6434,     2331
rona-rumours-corpus-ᾱ-2020-08-26.jsonl.gz,    11126,    13537,    11126,     6530,     2445
rona-rumours-corpus-ᾱ-2020-08-27.jsonl.gz,     5982,     7396,     5982,     3557,     1224
rona-rumours-corpus-ᾱ-2020-08-28.jsonl.gz,     3639,     4529,     3639,     2088,      541
rona-rumours-corpus-ᾱ-2020-08-29.jsonl.gz,     4643,     5501,     4643,     2881,      944
rona-rumours-corpus-ᾱ-2020-08-30.jsonl.gz,    10785,    12179,    10785,     6769,     2709
rona-rumours-corpus-ᾱ-2020-08-31.jsonl.gz,    16079,    17082,    16079,     9954,     4393
rona-rumours-corpus-ᾱ-2020-09-01.jsonl.gz,    12253,    13378,    12253,     8062,     3506
rona-rumours-corpus-ᾱ-2020-09-02.jsonl.gz,    13891,    16962,    13891,     8876,     3593
rona-rumours-corpus-ᾱ-2020-09-03.jsonl.gz,    12661,    15141,    12661,     8013,     3296
rona-rumours-corpus-ᾱ-2020-09-04.jsonl.gz,    10616,    12917,    10616,     6639,     2754
rona-rumours-corpus-ᾱ-2020-09-05.jsonl.gz,    14185,    17113,    14185,     8745,     3405
rona-rumours-corpus-ᾱ-2020-09-06.jsonl.gz,    13751,    16217,    13751,     8302,     3272
rona-rumours-corpus-ᾱ-2020-09-07.jsonl.gz,    14227,    16662,    14227,     8788,     3573
rona-rumours-corpus-ᾱ-2020-09-08.jsonl.gz,    14891,    17721,    14891,     9309,     3520
rona-rumours-corpus-ᾱ-2020-09-09.jsonl.gz,    15305,    17729,    15305,     9920,     3813
rona-rumours-corpus-ᾱ-2020-09-10.jsonl.gz,    13236,    15572,    13236,     8348,     3312
rona-rumours-corpus-ᾱ-2020-09-11.jsonl.gz,    13566,    15463,    13566,     8053,     2931
rona-rumours-corpus-ᾱ-2020-09-12.jsonl.gz,    11066,    12847,    11066,     7239,     2765
rona-rumours-corpus-ᾱ-2020-09-13.jsonl.gz,    13903,    16193,    13903,     8769,     3249
rona-rumours-corpus-ᾱ-2020-09-14.jsonl.gz,    14087,    17118,    14087,     9100,     3368
rona-rumours-corpus-ᾱ-2020-09-15.jsonl.gz,    12106,    17071,    12106,     7665,     2743
rona-rumours-corpus-ᾱ-2020-09-16.jsonl.gz,    14467,    18856,    14467,     9005,     3304
rona-rumours-corpus-ᾱ-2020-09-17.jsonl.gz,    13429,    16927,    13429,     8682,     3288
rona-rumours-corpus-ᾱ-2020-09-18.jsonl.gz,    13027,    15719,    13027,     8421,     3273
rona-rumours-corpus-ᾱ-2020-09-19.jsonl.gz,    10442,    12918,    10442,     6830,     2761
rona-rumours-corpus-ᾱ-2020-09-20.jsonl.gz,     9427,    11624,     9427,     6003,     2484
rona-rumours-corpus-ᾱ-2020-09-21.jsonl.gz,    11912,    14677,    11912,     7832,     3051
rona-rumours-corpus-ᾱ-2020-09-22.jsonl.gz,    13245,    15961,    13245,     8485,     3278
rona-rumours-corpus-ᾱ-2020-09-23.jsonl.gz,    12078,    14847,    12078,     7692,     2866
rona-rumours-corpus-ᾱ-2020-09-24.jsonl.gz,    10871,    13431,    10871,     6859,     2674
rona-rumours-corpus-ᾱ-2020-09-25.jsonl.gz,    10828,    13655,    10828,     6785,     2551
rona-rumours-corpus-ᾱ-2020-09-26.jsonl.gz,    13599,    15966,    13599,     8772,     3216
rona-rumours-corpus-ᾱ-2020-09-27.jsonl.gz,    11497,    13682,    11497,     7541,     2999
rona-rumours-corpus-ᾱ-2020-09-28.jsonl.gz,    10393,    13055,    10393,     6759,     2658
rona-rumours-corpus-ᾱ-2020-09-29.jsonl.gz,    11479,    15007,    11479,     7140,     2746
rona-rumours-corpus-ᾱ-2020-09-30.jsonl.gz,     9363,    12188,     9363,     5677,     2233
rona-rumours-corpus-ᾱ-2020-10-01.jsonl.gz,    10044,    13161,    10044,     6414,     2477
rona-rumours-corpus-ᾱ-2020-10-02.jsonl.gz,    18982,    21813,    18982,    12424,     4480
rona-rumours-corpus-ᾱ-2020-10-03.jsonl.gz,    21086,    23317,    21086,    13201,     4430
rona-rumours-corpus-ᾱ-2020-10-04.jsonl.gz,    16979,    19181,    16979,    10989,     3997
rona-rumours-corpus-ᾱ-2020-10-05.jsonl.gz,    39011,    41721,    39011,    25203,     8579
rona-rumours-corpus-ᾱ-2020-10-06.jsonl.gz,    40983,    44339,    40983,    25798,     8371
rona-rumours-corpus-ᾱ-2020-10-07.jsonl.gz,    21359,    24088,    21359,    13438,     4695
rona-rumours-corpus-ᾱ-2020-10-08.jsonl.gz,    15816,    18585,    15816,     9727,     3318
rona-rumours-corpus-ᾱ-2020-10-09.jsonl.gz,    13946,    16852,    13946,     8573,     3159
rona-rumours-corpus-ᾱ-2020-10-10.jsonl.gz,    12541,    15058,    12541,     7628,     2804
rona-rumours-corpus-ᾱ-2020-10-11.jsonl.gz,    11641,    14058,    11641,     7244,     2883
rona-rumours-corpus-ᾱ-2020-10-12.jsonl.gz,    15021,    17593,    15021,     9235,     3341
rona-rumours-corpus-ᾱ-2020-10-13.jsonl.gz,    15988,    19779,    15988,     9235,     2944
rona-rumours-corpus-ᾱ-2020-10-14.jsonl.gz,    17390,    21444,    17390,    10572,     3661
rona-rumours-corpus-ᾱ-2020-10-15.jsonl.gz,    14337,    17843,    14337,     8503,     3120
rona-rumours-corpus-ᾱ-2020-10-16.jsonl.gz,    12158,    14861,    12158,     6887,     2564
rona-rumours-corpus-ᾱ-2020-10-17.jsonl.gz,    10114,    12212,    10114,     6224,     2313
rona-rumours-corpus-ᾱ-2020-10-18.jsonl.gz,    11701,    13901,    11701,     7400,     2898
rona-rumours-corpus-ᾱ-2020-10-19.jsonl.gz,    14213,    17177,    14213,     8995,     3449
rona-rumours-corpus-ᾱ-2020-10-20.jsonl.gz,    14255,    17166,    14255,     8813,     3200
rona-rumours-corpus-ᾱ-2020-10-21.jsonl.gz,    13160,    16027,    13160,     7999,     2917
rona-rumours-corpus-ᾱ-2020-10-22.jsonl.gz,    12143,    15220,    12143,     7324,     2691
rona-rumours-corpus-ᾱ-2020-10-23.jsonl.gz,    13281,    16755,    13281,     8285,     2938
rona-rumours-corpus-ᾱ-2020-10-24.jsonl.gz,    13669,    16723,    13669,     8370,     3284
rona-rumours-corpus-ᾱ-2020-10-25.jsonl.gz,    15105,    19716,    15105,     8960,     3457
rona-rumours-corpus-ᾱ-2020-10-26.jsonl.gz,    14778,    18187,    14778,     8917,     3386
rona-rumours-corpus-ᾱ-2020-10-27.jsonl.gz,    14666,    18890,    14666,     8754,     3235
rona-rumours-corpus-ᾱ-2020-10-28.jsonl.gz,    15838,    19358,    15838,     9505,     3417
rona-rumours-corpus-ᾱ-2020-10-29.jsonl.gz,    14762,    18067,    14762,     9235,     3525
rona-rumours-corpus-ᾱ-2020-10-30.jsonl.gz,    15024,    19198,    15024,     9058,     3380
rona-rumours-corpus-ᾱ-2020-10-31.jsonl.gz,    20876,    24216,    20876,    12561,     4912
rona-rumours-corpus-ᾱ-2020-11-01.jsonl.gz,    34748,    38362,    34748,    21800,     8744
rona-rumours-corpus-ᾱ-2020-11-02.jsonl.gz,    19561,    22508,    19561,    11863,     4305
rona-rumours-corpus-ᾱ-2020-11-03.jsonl.gz,    14489,    16893,    14489,     8730,     3072
rona-rumours-corpus-ᾱ-2020-11-04.jsonl.gz,    11235,    13496,    11235,     6908,     2443
rona-rumours-corpus-ᾱ-2020-11-05.jsonl.gz,    12843,    15918,    12843,     7755,     2888
rona-rumours-corpus-ᾱ-2020-11-06.jsonl.gz,    10816,    13714,    10816,     6692,     2571
rona-rumours-corpus-ᾱ-2020-11-07.jsonl.gz,    13775,    16086,    13775,     8345,     2923
rona-rumours-corpus-ᾱ-2020-11-08.jsonl.gz,    10930,    12848,    10930,     6615,     2630
rona-rumours-corpus-ᾱ-2020-11-09.jsonl.gz,    14263,    16986,    14263,     8759,     3270
rona-rumours-corpus-ᾱ-2020-11-10.jsonl.gz,    13071,    15687,    13071,     8135,     3048
rona-rumours-corpus-ᾱ-2020-11-11.jsonl.gz,    12276,    14913,    12276,     7704,     2954
rona-rumours-corpus-ᾱ-2020-11-12.jsonl.gz,    12822,    15796,    12822,     8134,     3047
